MRA_LAB_ID,Location,4:2 Fluorotelomer sulfonate (4:2 FTS),8:2 FTS,N-ethylperfluorooctanesulfonamidoacetic acid (NEtFOSAA),N-methylperfluorooctanesulfonamidoacetic acid (NMeFOSAA),Perfluorobutanoic acid (PFBA),Perfluorobutanesulfonic acid (PFBS),Perfluorodecanoic acid (PFDA),Perfluorodecanesulfonic acid (PFDS),Perfluorododecanoic acid (PFDoA),Perfluoroheptanoic acid (PFHpA),Perfluoro-1-heptanesulfonate (PFHpS),Perfluorohexanoic acid (PFHxA),Perfluorohexanesulfonic acid (PFHxS),Perfluorononanoic acid (PFNA),PFNS,Perfluorooctanoic acid (PFOA),Perfluorooctanesulfonic acid (PFOS),Perfluorooctanesulfonamide (FOSA),Perfluoropentanoic acid (PFPeA),Perfluoropentanesulfonic acid (PFPeS),Perfluorotetradecanoic acid (PFTeDA),Perfluorotridecanoic acid (PFTrDA),Perfluoroundecanoic acid (PFUdA),long chain,shortchain,pfca,pfsa,Fluorotelomer sulfonic acids,Perfluoroalkane sulfonamido substances,SumPFAS,Site,Type,pH,EC,Clay,Silt,Sand,Al,Co,Ni,Cu,Zn,Mo,Fe,Mn,As,Pb,Cd
W023_20221218_PFS_A ,Miami,0.012,0.036,0.085,0.018,0.012,0.309,0.495,0.056,0.018,0.034,0.012,0.012,0.026,0.102,0.012,0.018,0.048,0.146,0.041,0.031,0.012,0.012,0.018,1.114,0.451,0.774,0.494,0.048,0.24899999999999997,1.565,Miami13,Nonresidential,7.345,194.9,7.29,31.79,60.92,11515.39,11.14,25.02,582.2,229.26,5.65,16085.55,818.06,11.28,107.2,1.08
W024_2023108_PFS-A,Miami,0.026,0.017,0.022,0.03,0.024,0.014,0.033,0.029,0.03,0.031,0.019,0.018,0.024,0.018,0.02,0.028,0.021,0.014,0.024,0.034,0.026,0.024,0.014,0.3690000000000001,0.171,0.27,0.161,0.043,0.066,0.5400000000000003,Miami16,Nonresidential,7.255,125.3,5.43,29.7,64.87,13298.99,13.64,28.84,489.57,136.8,4.46,20051.77,714.26,9.07,75.6,0.88
W029_2023123_PFS_A,Miami,0.024,0.015,0.02,0.027,1.7,0.013,0.029,0.34,0.31,0.028,0.017,0.23,0.022,0.016,0.018,1.1,0.018,0.012,0.021,0.03,0.023,0.021,0.012,2,2.046,3.49,0.4580000000000001,0.039,0.059,4.046,Miami14,Nonresidential,7.27,385.85,6.36,31.98,61.66,13187.62,9.34,25.05,1820.24,870.52,16.69,18987.25,406.14,26.68,916.7,3.15
W030_2023123_PFS_A,Miami,1.5,0.016,0.022,0.03,61,0.014,0.032,15,0.59,0.03,6.6,1.2,0.32,0.018,1.5,0.33,0.02,0.014,0.67,0.42,1.3,3.7,2.1,31.592000000000002,64.834,70.97,23.874,1.516,0.066,96.426,Miami15,Nonresidential,8.035,10.46,5.51,20.78,73.71,8891.32,12.06,27.84,2155.42,715.65,16.26,14845.69,406.67,10.37,386.9,2.52
W032_20230201_PFS_A,Miami,0.021,0.014,0.018,0.42,11,0.49,0.026,12,0.33,0.024,0.32,1,0.21,0.014,1.7,2,0.016,0.011,0.32,0.73,1.4,0.018,0.01,18.507,13.585,16.142,15.466000000000001,0.035,0.44899999999999995,32.092,Miami9,Nonresidential,8.22,8175,4.28,21.16,74.56,10346.36,9.31,22.78,602.95,393.63,8.05,14314.41,530.27,9.78,164.1,1.26
W039_20230201_PFS_A,Miami,0.025,0.016,3.7,0.028,0.022,0.014,0.031,0.027,0.028,0.029,0.018,0.017,0.022,0.017,0.018,0.026,0.02,0.013,0.022,0.032,0.024,0.022,0.012,4.022,0.161,0.25,0.151,0.041,3.741,4.183000000000002,Miami10,Nonresidential,8.215,146.7,3.29,21.05,75.66,14021.33,12.18,27.38,509.98,253.5,4.75,21419.33,410.74,7.46,56.3,1.21
W040_20230207_PFS_A,Globe/Midland City,2.1,0.014,2.9,0.025,0.02,0.012,0.027,0.024,0.025,0.026,0.016,0.015,0.02,0.015,0.016,0.022,0.017,0.012,0.019,0.028,0.022,0.019,0.011,3.185,2.22,0.22099999999999997,0.133,2.114,2.937,5.4049999999999985,GLMC8,Nonresidential,8.08,613.2,7.36,15.08,77.56,17399.51,15.93,26.4,59.07,122.44,0.45,26882.87,734.54,5.23,18.5,0.18
W041_20230203_PFS_A,Miami,0.023,0.015,3.3,0.026,0.021,0.012,0.028,0.026,0.026,0.027,0.016,0.016,0.021,0.016,0.017,0.024,0.018,0.012,0.02,0.029,0.022,0.02,0.012,3.5989999999999998,0.148,0.23199999999999998,0.139,0.038,3.3379999999999996,3.747,Miami11,Nonresidential,7.83,84.805,2.28,11.75,85.97,8960.91,6.8,12.08,289.98,68.11,5.33,11277.09,525.56,8.51,15.7,0.22
W042_20230202_PFS_A,Globe/Midland City,0.43,0.016,3.6,0.03,0.023,0.014,0.032,0.028,2.4,0.03,0.93,0.018,0.023,0.018,0.019,1.5,0.02,1,0.022,1.5,0.025,0.42,0.27,10.331,2.037,4.757999999999999,2.534,0.446,4.63,12.367999999999999,GLMC10,Nonresidential,8.225,125.85,20.64,32.49,46.87,27516.66,19.45,45.48,810.6,522.21,2.06,30622.71,941.15,13.02,81.6,1.3
W043_20230204_PFS_A,Globe/Midland City,0.024,0.016,0.34,0.011,0.022,0.018,0.33,0.025,0.24,0.018,0.024,0.015,0.014,0.01,0.014,0.026,1.8,0.016,0.02,0.018,0.018,0.01,0.02,2.914,0.135,0.729,1.913,0.04,0.36700000000000005,3.0489999999999995,GLMC4,Nonresidential,8.205,182.9,4.37,12.77,82.86,13520.61,12.04,27.13,443.46,349.84,1.58,22103.84,1049.29,6.87,152.8,1.2
