MRA_Lab_ID,Parameter,corrected,log_corrected
GLMC _CTRL_PFAS_A002,Perfluorohexanesulfonic acid (PFHxS),0.015,-4.199705077879927
GLMC _CTRL_PFAS_A002,Perfluorononanoic acid (PFNA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluorooctanoic acid (PFOA),0.04,-3.2188758248682006
GLMC _CTRL_PFAS_A002,Perfluorooctanesulfonic acid (PFOS),0.026,-3.649658740960655
GLMC _CTRL_PFAS_A002,Perfluorooctanesulfonamide (FOSA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluoropentanesulfonic acid (PFPeS),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A002,Perfluoroundecanoic acid (PFUdA),0.01,-4.605170185988091
GLMC _CTRL_PFAS_A003,Perfluorobutanoic acid (PFBA),0.148,-1.9105430052180221
GLMC _CTRL_PFAS_A003,Perfluorobutanesulfonic acid (PFBS),0.137,-1.987774353154012
GLMC _CTRL_PFAS_A003,Perfluorodecanoic acid (PFDA),0.073,-2.617295837833746
GLMC _CTRL_PFAS_A003,Perfluorodecanesulfonic acid (PFDS),0.016,-4.135166556742356
GLMC _CTRL_PFAS_A003,Perfluorododecanoic acid (PFDoA),0.011,-4.509860006183766
GLMC _CTRL_PFAS_A003,Perfluoroheptanoic acid (PFHpA),0.011,-4.509860006183766
GLMC _CTRL_PFAS_A003,Perfluorohexanoic acid (PFHxA),0.011,-4.509860006183766
GLMC _CTRL_PFAS_A003,Perfluorohexanesulfonic acid (PFHxS),0.055,-2.900422093749666
GLMC _CTRL_PFAS_A003,Perfluorononanoic acid (PFNA),0.056,-2.8824035882469876
GLMC _CTRL_PFAS_A003,Perfluorooctanoic acid (PFOA),0.044,-3.123565645063876
GLMC _CTRL_PFAS_A003,Perfluorooctanesulfonic acid (PFOS),0.236,-1.443923473956527
GLMC _CTRL_PFAS_A003,Perfluorooctanesulfonamide (FOSA),0.031,-3.473768074496991
GLMC _CTRL_PFAS_A003,Perfluoropentanesulfonic acid (PFPeS),0.011,-4.509860006183766
GLMC _CTRL_PFAS_A003,Perfluoroundecanoic acid (PFUdA),0.036,-3.3242363405260273
